Geography,Name_Geography,Year,RPL_Themes,WeightedAvgQuintile,TotalPopulation,Condition_TotalPop
County,King County,2018,0.9397,0.127658473899107,1762,106.2486
County,King County,2018,0.3451,0.634212606975398,4495,2943.7755
County,King County,2018,0.2821,0.634212606975398,4930,3539.247
County,King County,2018,0.6528,0.379223327034418,6206,2154.7232
County,King County,2018,0.4678,0.634212606975398,5793,3083.0346
County,King County,2018,0.5586,0.379223327034418,5803,2561.4442
County,King County,2018,0.6244,0.379223327034418,9736,3656.8416
County,King County,2018,0.9882,0.127658473899107,4340,51.212
County,King County,2018,0.0388,0.952011638249996,3308,3179.6496
County,King County,2018,0.5336,0.379223327034418,5250,2448.6
County,King County,2018,0.6819,0.379223327034418,3644,1159.1564
County,King County,2018,0.8177,0.127658473899107,6625,1207.7375
County,King County,2018,0.2121,0.822862234780884,4831,3806.3449
County,King County,2018,0.6985,0.379223327034418,6295,1897.9425
County,King County,2018,0.5489,0.379223327034418,7934,3579.0274
County,King County,2018,0.9577,0.127658473899107,4109,173.8107
County,King County,2018,0.2211,0.822862234780884,4092,3187.2588
County,King County,2018,0.8233,0.127658473899107,6914,1221.7038
County,King County,2018,0.6168,0.379223327034418,9297,3562.6104
County,King County,2018,0.7138,0.379223327034418,9466,2709.1692
County,King County,2018,0.9854,0.127658473899107,8051,117.5446
County,King County,2018,0.8073,0.127658473899107,4109,791.8043
County,King County,2018,0.2495,0.822862234780884,6298,4726.649
County,King County,2018,0.8836,0.127658473899107,5746,668.8344
County,King County,2018,0.9605,0.127658473899107,5970,235.815
County,King County,2018,0.9383,0.127658473899107,8546,527.2882
County,King County,2018,0.9848,0.127658473899107,4697,71.3944
County,King County,2018,0.7921,0.127658473899107,4296,893.1384
County,King County,2018,0.5974,0.379223327034418,5222,2102.3772
County,King County,2018,0.4172,0.634212606975398,5706,3325.4568
County,King County,2018,0.2398,0.822862234780884,4215,3204.243
County,King County,2018,0.3216,0.634212606975398,5082,3447.6288
County,King County,2018,0.7353,0.379223327034418,4973,1316.3531
County,King County,2018,0.7672,0.127658473899107,7423,1728.0744
County,King County,2018,0.6133,0.379223327034418,4549,1759.0983
County,King County,2018,0.1816,0.822862234780884,8688,7110.2592
County,King County,2018,0.58,0.379223327034418,4358,1830.36
County,King County,2018,0.9744,0.127658473899107,4396,112.5376
County,King County,2018,0.957,0.127658473899107,5846,251.378
County,King County,2018,0.8323,0.127658473899107,7229,1212.3033
County,King County,2018,0.973,0.127658473899107,4198,113.346
County,King County,2018,0.3888,0.634212606975398,4530,2768.736
County,King County,2018,0.9903,0.127658473899107,3938,38.1986
County,King County,2018,0.0859,0.952011638249996,5785,5288.0685
County,King County,2018,0.9813,0.127658473899107,7163,133.9481
County,King County,2018,0.5495,0.379223327034418,3288,1481.244
County,King County,2018,0.8351,0.127658473899107,5362,884.1938
County,King County,2018,0.8358,0.127658473899107,5700,935.94
County,King County,2018,0.7339,0.379223327034418,4710,1253.331
County,King County,2018,0.8468,0.127658473899107,2693,412.5676
County,King County,2018,0.51,0.379223327034418,3186,1561.14
County,King County,2018,0.9141,0.127658473899107,6954,597.3486
County,King County,2018,0.8607,0.127658473899107,3032,422.3576
County,King County,2018,0.341,0.634212606975398,5084,3350.356
County,King County,2018,0.948,0.127658473899107,4398,228.696
County,King County,2018,0.9688,0.127658473899107,4236,132.1632
County,King County,2018,0.2488,0.822862234780884,6360,4777.632
